id;month;year;salary_generation_date;created_by;created_at;updated_by;updated_at;ref_pin;pin;joining_date;confirmation_date;employee_category;unit;department;main_gross_salary;main_gross_basic_salary;main_gross_house_rent;main_gross_medical_allowance;main_gross_conveyance_allowance;absent_days;fraction_days;payable_gross_salary;payable_gross_basic_salary;payable_gross_house_rent;payable_gross_medical_allowance;payable_gross_conveyance_allowance;arrear_salary;pf_deduction;tax_deduction;welfare_fund_deduction;mobile_bill_deduction;other_deduction;total_deduction;net_pay;remarks;pf_contribution;gf_contribution;provision_for_festival_bonus;provision_for_leave_encashment;is_finalized;is_dispatched;entertainment;utility;other_addition;salary_adjustment;provident_fund_arrear;allowance_01;allowance_02;allowance_03;allowance_04;allowance_05;allowance_06;provision_for_project_bonus;is_hold;attendance_regularisation_start_date;attendance_regularisation_end_date;title;is_visible_to_employee;pf_arrear;tax_calculation_snapshot
1;FEBRUARY;88981;2021-02-17;Buckinghamshire deposit Washington;2021-02-17T04:23:40;Kingdom matrix Buckinghamshire;2021-02-17T04:46:36;Kuwaiti Directives;time-frame;2021-02-16;2021-02-16;CONTRACTUAL_EMPLOYEE;digital;Unbranded;68792;67722;67495;48496;24631;25445;97594;53927;87121;8337;16191;83466;24417;64754;94129;9932;87151;87064;35178;21781;plug-and-play Dynamic SAS;85390;20182;22036;3577;true;false;1854610;1151026;88464;-7550883;7023278;8611278;1120855;4391871;9589172;6595302;5896762;599892;false;2021-02-17;2021-02-16;Kids cyan;false;49323;../fake-data/blob/hipster.txt
2;OCTOBER;67852;2021-02-17;Checking;2021-02-17T08:01:10;Group;2021-02-16T11:52:39;USB;extend;2021-02-16;2021-02-17;CONTRACTUAL_EMPLOYEE;Synchronised action-items;Wyoming Configuration;11899;94797;31199;28011;64196;78390;65450;29402;50755;19491;8239;39639;63084;66196;29500;9764;80944;92706;30459;5463;AI Metal Rupee;23208;97274;32216;52912;false;false;8856541;496636;32396;-6565506;1479154;2539993;1065746;3286107;1977656;9400633;1285446;877026;false;2021-02-17;2021-02-16;Tonga back aggregate;false;25441;../fake-data/blob/hipster.txt
3;FEBRUARY;80566;2021-02-16;Berkshire South;2021-02-16T13:52:09;calculating;2021-02-17T03:51:31;bluetooth;Switchable Automotive;2021-02-16;2021-02-16;CONTRACTUAL_EMPLOYEE;Security Gorgeous;moderator Computers;83102;96243;40492;62551;81585;60236;21385;27104;25908;93278;9435;82614;8889;35128;12026;46900;1064;69544;47179;62016;AI;8285;7228;91772;1289;true;false;5686300;395632;68650;-6054911;8200373;6010867;9363765;1297228;9170915;2512882;3311889;9655252;true;2021-02-16;2021-02-17;multi-state;true;97344;../fake-data/blob/hipster.txt
4;DECEMBER;95098;2021-02-17;morph Multi-lateral;2021-02-16T14:45:45;interface;2021-02-16T20:53:39;Steel;GB;2021-02-17;2021-02-16;REGULAR_CONFIRMED_EMPLOYEE;THX Concrete Maryland;Incredible transmitting maroon;22083;40138;63789;5084;41615;45199;70504;19391;67071;30356;34723;70676;25026;2895;53878;99138;16320;53299;35897;7914;Inverse Multi-tiered Customer;57570;833;84926;13974;true;true;7450275;3319342;96180;-8692344;7782484;5326869;8740358;7595415;6546527;291693;4908293;2183584;true;2021-02-17;2021-02-17;evolve Virginia compelling;false;57876;../fake-data/blob/hipster.txt
5;APRIL;56299;2021-02-16;repurpose;2021-02-17T01:31:12;Granite Licensed;2021-02-17T07:26:29;exploit invoice Integration;Generic Keyboard Keyboard;2021-02-16;2021-02-17;REGULAR_PROVISIONAL_EMPLOYEE;generate Intuitive North;copying Organized;36662;11786;38528;8695;27454;3358;64527;34050;90572;27161;26286;19875;27154;13042;18864;21752;46284;22017;67788;26335;Dinar;24375;14419;30171;37817;false;true;826974;4035657;52803;-5818566;2702008;5947828;3391248;6867612;3607842;7118960;2590969;1112989;true;2021-02-16;2021-02-16;transmitter;true;11832;../fake-data/blob/hipster.txt
6;OCTOBER;32392;2021-02-16;Clothing;2021-02-17T04:30:35;backing;2021-02-17T00:21:06;silver port Swaziland;multi-state Generic frame;2021-02-17;2021-02-17;REGULAR_CONFIRMED_EMPLOYEE;Granite Loan deposit;Maryland;44955;39949;44435;97068;9472;4953;3036;75694;78915;12862;91642;78856;36494;30207;16423;9695;65798;67892;39854;75928;card Roads;26469;56963;35914;73758;false;false;1096357;2934057;85233;3927795;9933968;2724574;931689;797262;8898284;4340922;9476188;5308810;false;2021-02-16;2021-02-16;card compress;true;45502;../fake-data/blob/hipster.txt
7;JANUARY;59818;2021-02-17;Oregon quantifying Small;2021-02-16T20:10:48;facilitate;2021-02-17T03:23:25;interfaces programming;Pound;2021-02-16;2021-02-17;REGULAR_PROVISIONAL_EMPLOYEE;up Account;Re-contextualized;89492;11135;96591;79196;34091;14277;17262;38267;12904;29607;40468;95858;11960;87415;47009;78113;11704;53669;92395;97465;silver;77304;35424;22448;70323;false;false;1740675;8370484;89832;-5307308;2652105;9004821;200886;1589525;4677968;7469792;3100305;8753719;false;2021-02-17;2021-02-17;Account one-to-one;false;66697;../fake-data/blob/hipster.txt
8;OCTOBER;41027;2021-02-16;Canada;2021-02-16T12:31:00;SMS state;2021-02-17T02:53:47;Interactions Paradigm redundant;Rustic;2021-02-17;2021-02-16;REGULAR_PROVISIONAL_EMPLOYEE;Auto Executive;hacking Outdoors Georgia;77914;38008;95963;385;93417;53371;26116;35359;78916;32138;25895;97651;9172;86389;77437;23355;87972;18019;2970;82572;microchip Granite Islands;24256;72852;44406;198;false;true;5363054;1075953;46876;-7650601;4285755;6613567;4432898;1174710;1775143;658975;343132;2949125;false;2021-02-16;2021-02-17;Netherlands;false;47767;../fake-data/blob/hipster.txt
9;NOVEMBER;78211;2021-02-16;hard Salad lavender;2021-02-17T05:32:19;Forward neural intuitive;2021-02-17T02:11:20;incentivize Pizza Michigan;e-enable Soft;2021-02-16;2021-02-17;CONTRACTUAL_EMPLOYEE;Associate Table payment;Connecticut Liaison systems;17149;48803;1809;19041;21947;54367;35692;30652;71904;9392;59312;72472;37260;42283;50935;5586;28224;3614;34239;35061;1080p Beauty;63491;33714;57641;82846;true;false;3946008;1645333;84368;-4530674;2458122;2064785;5484464;9005459;9579195;6574582;1958455;8766015;true;2021-02-16;2021-02-17;Berkshire state;true;2248;../fake-data/blob/hipster.txt
10;AUGUST;38680;2021-02-17;incentivize national;2021-02-17T04:03:06;applications index;2021-02-16T23:06:50;Administrator Data;Loan Towels salmon;2021-02-16;2021-02-16;CONTRACTUAL_EMPLOYEE;Computer withdrawal Programmable;Borders;46894;42321;37188;18508;51873;58149;10751;79245;45590;43237;41030;72878;91031;15815;11530;94525;25178;54252;47338;44603;circuit;73145;83299;55408;45083;false;false;3336440;7557606;60335;7100876;4031772;5993215;7487817;1868700;3755852;4528106;8023365;7626814;true;2021-02-17;2021-02-17;quantifying exuding;true;1752;../fake-data/blob/hipster.txt
