id;date_of_resignation;notice_period;last_working_day;date_of_release;service_tenure;m_basic;m_house_rent;m_medical;m_conveyance;salary_payable;salary_payable_remarks;total_days_for_leave_encashment;total_leave_encashment;mobile_bill_in_cash;allowance_01_name;allowance_01_amount;allowance_01_remarks;allowance_02_name;allowance_02_amount;allowance_02_remarks;allowance_03_name;allowance_03_amount;allowance_03_remarks;allowance_04_name;allowance_04_amount;allowance_04_remarks;deduction_notice_pay;deduction_pf;deduction_haf;deduction_excess_cell_bill;deduction_absent_days_adjustment;total_salary_payable;deduction_annual_income_tax;net_salary_payable;total_payable_pf;total_payable_gf;total_final_settlement_amount;created_at;updated_at;deduction_notice_pay_days;deduction_absent_days_adjustment_days;deduction_other;total_salary;total_gross_salary;total_deduction;final_settlement_date;is_finalized;salary_num_of_month;remarks;employee_id
1;2021-12-11;37827;2021-12-11;2021-12-11;Bedfordshire Profit-focused EXE;29792;44814;27537;36399;87230;plum XSS Auto;76531;661;79487;hack Practical;63036;Shirt;Credit;43090;Handmade;Handcrafted supply-chains Paradigm;28140;Open-source Plastic olive;Public-key paradigms Cambridgeshire;4012;Credit lavender;322;44091;60024;22334;52899;76178;3226;96674;77230;49945;36890;2021-12-12;2021-12-11;99237;81139;29626;27418;78182;72402;2021-12-12;false;85271;parsing SMS;1
2;2021-12-11;88381;2021-12-12;2021-12-11;Causeway;68553;30425;62664;53579;96929;up;60033;27053;93626;Cambridgeshire;75619;green bus;Identity Pants Strategist;26066;Account;Washington;97560;optical Granite;Illinois;53904;efficient implementation;49539;10308;61411;31235;4676;64458;27060;49863;29500;80171;13260;2021-12-11;2021-12-11;12005;26850;30161;5039;95926;52601;2021-12-12;false;11886;quantifying Nebraska Iraqi;2
3;2021-12-11;86301;2021-12-11;2021-12-11;Bedfordshire JBOD;39686;32501;92366;95094;37962;enable zero;69907;86977;38010;District Keys teal;85936;North;HDD Executive Sports;71341;Dakota definition Cuban;copy Specialist;50594;Refined Electronics;application mint;45389;Generic lime;25248;61811;49398;95936;30094;58811;4071;46794;31329;71756;55929;2021-12-12;2021-12-11;44439;60792;5064;85413;22610;69425;2021-12-11;true;3514;Chief supply-chains focus;3
4;2021-12-12;56378;2021-12-11;2021-12-11;Guernsey quantify Rustic;86004;21405;49529;98946;97533;Accounts Advanced;32414;90194;80819;Group copy multi-byte;12249;synthesizing firmware Research;vertical;83245;IB;Towels;63406;management Lebanon;online;86467;Shirt Outdoors Franc;91802;54941;99113;15418;20014;16280;63293;27652;75500;63349;79580;2021-12-11;2021-12-12;63068;44633;50660;55473;4304;11165;2021-12-11;false;87993;Arkansas Program parsing;4
5;2021-12-11;76695;2021-12-11;2021-12-11;deposit Massachusetts;5681;60185;75638;5069;91659;copying;9657;90923;8518;Italy Soft Fantastic;10362;efficient Mayotte Automotive;software;74125;Plaza;Executive;44660;Iowa;intuitive grid-enabled;80891;Tuna incubate;35542;45118;28429;70767;72242;67528;26083;94073;64158;26024;91572;2021-12-11;2021-12-11;17413;23608;35553;90437;27217;85726;2021-12-12;false;29010;Steel multi-tasking;5
6;2021-12-11;350;2021-12-11;2021-12-12;Interactions matrix Chicken;58678;99704;96347;85994;22056;reinvent Mississippi Savings;94291;25123;32252;wireless;84891;Books Unbranded;synthesize JBOD;69436;Licensed productize Berkshire;alliance Quality-focused port;10723;Dam District;neural vortals;21538;platforms;64311;18186;58030;98299;21907;29959;8099;52271;81749;8434;8648;2021-12-12;2021-12-11;23400;8627;76082;40679;97756;58333;2021-12-11;true;84063;experiences Mountains;6
7;2021-12-11;34085;2021-12-11;2021-12-11;Division Manager Specialist;6831;76970;42868;98571;1154;gold Missouri;13305;10771;12592;1080p Account;10664;Tasty bifurcated Designer;Ouguiya installation;57629;Rubber online system;Berkshire Handcrafted wireless;24077;violet Interface;Berkshire;90480;parsing Crossroad;5148;8351;63798;25598;64779;69915;50204;86945;38468;31498;45086;2021-12-11;2021-12-11;32960;45702;71355;53169;47021;38856;2021-12-11;true;77438;Synchronised;7
8;2021-12-11;36619;2021-12-11;2021-12-11;FTP;77730;22599;11931;34925;46593;incremental deposit;13312;21937;91245;logistical Washington calculate;75044;Cotton port navigate;solutions;2874;circuit Gloves;Future-proofed relationships;23728;portal deposit up;Berkshire;26670;Senior;61664;61306;80874;87275;85005;86470;93541;79626;98624;2235;43518;2021-12-11;2021-12-12;4581;48952;39000;34298;42557;83003;2021-12-11;true;62712;PNG;8
9;2021-12-12;96774;2021-12-11;2021-12-12;Arkansas brand;15993;21132;2329;52149;53303;Public-key;16245;88659;38351;navigating Music;12814;Liaison;Tasty Global payment;77394;copy;McDonald Gold;79230;input;Markets;61316;vortals hacking;26312;32616;13839;68341;28671;83053;12246;10863;7569;74266;22271;2021-12-11;2021-12-11;62976;81084;74156;32423;35434;4114;2021-12-11;true;60589;Solomon;9
10;2021-12-12;86673;2021-12-11;2021-12-11;clicks-and-mortar Handmade;32723;93469;38847;36526;52751;Practical compress;51531;11941;64407;groupware transmitter Alaska;14486;Shirt Factors;orange;54013;invoice;digital Infrastructure Louisiana;72819;wireless;connect Wooden SSL;83007;Berkshire programming input;66539;21403;30472;35510;41383;85462;92729;64841;3285;28571;17268;2021-12-11;2021-12-11;40328;57964;3001;696;432;62380;2021-12-11;false;73561;program Forges Central;10
