id;application_date;leave_type;description;start_date;end_date;is_line_manager_approved;is_hr_approved;is_rejected;rejection_comment;is_half_day;duration_in_day;phone_number_on_leave;address_on_leave;reason;sanctioned_at
1;2021-02-28;Other;Metal Radial Cambridgeshire;2021-02-28;2021-02-28;true;true;false;Account;false;96713;concept artificial Granite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-02-28T10:17:48
2;2021-02-28;Mentionable_Annual_Leave;Kansas Account application;2021-02-28;2021-02-28;true;false;false;conglomeration network;false;11408;Georgia Producer markets;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-03-01T07:31:32
3;2021-02-28;Non_Mentionable_Compensatory_Leave;Mount quantify experiences;2021-03-01;2021-02-28;false;true;true;Baby;false;18619;Loan Point;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-03-01T00:21:47
4;2021-03-01;Other;bypassing;2021-02-28;2021-02-28;false;false;false;JSON;true;48903;PNG Sausages Baby;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-02-28T09:07:17
5;2021-02-28;Mentionable_Casual_Leave;Dollar mobile Tunisia;2021-02-28;2021-02-28;false;false;false;Montana vertical gold;true;63398;Handcrafted Buckinghamshire application;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-03-01T02:08:59
6;2021-02-28;Non_Mentionable_Compensatory_Leave;driver Granite Group;2021-03-01;2021-02-28;false;false;false;connect payment Ohio;true;53230;Oman reinvent;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-03-01T04:17:57
7;2021-03-01;Other;optical Timor-Leste Wisconsin;2021-03-01;2021-02-28;true;true;false;haptic Nuevo Consultant;false;90961;parsing maximized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-03-01T06:03:37
8;2021-03-01;Non_Mentionable_Compensatory_Leave;Loan;2021-02-28;2021-02-28;false;true;true;Grocery back-end;true;36914;Towels Account Rubber;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-02-28T17:25:16
9;2021-02-28;Non_Mentionable_Paternity_Leave;Developer payment;2021-02-28;2021-02-28;false;true;true;Small Direct Industrial;false;18975;mission-critical Rubber strategize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-02-28T20:00:03
10;2021-02-28;Mentionable_Annual_Leave;port;2021-03-01;2021-02-28;false;true;true;Berkshire Rustic;true;10753;Soft Future program;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2021-03-01T03:06:24
