id;disbursement_amount;disbursement_date;bank_name;bank_branch;bank_account_number;cheque_number;instalment_number;installment_amount;instalment_start_from;status
1;75041;2021-02-16;Fresh robust digital;Shirt 24/7;FTP port local;Motorway Kazakhstan Nauru;engineer transmit Shoes;19460;2021-02-16;OPEN_REPAYING
2;27434;2021-02-16;XSS;Central Practical;violet;Rustic ubiquitous;Upgradable;75;2021-02-16;PAID_OFF
3;12679;2021-02-16;aggregate Sports Chair;Franc Dollar Mills;Minnesota Fresh multi-byte;Ranch Future-proofed SSL;Investor;44185;2021-02-16;PAID_OFF
4;90081;2021-02-17;Senior Chair;withdrawal Investor;indexing;Pre-emptive Health Afghani;Team-oriented payment;88322;2021-02-16;NOT_FULLFILLED
5;36012;2021-02-16;e-business Towels system;olive Denar Burundi;maroon Circles middleware;virtual morph override;override Account;24911;2021-02-17;NOT_FULLFILLED
6;54009;2021-02-16;withdrawal Steel;Kansas payment Kentucky;PNG Progressive PNG;Ridges cyan;Wisconsin;97375;2021-02-16;OPEN_REPAYING
7;82632;2021-02-16;Small driver;metrics virtual Customer;solution;Configuration cross-media;Response Chair;98467;2021-02-16;PAID_OFF
8;77611;2021-02-16;ubiquitous Awesome Handcrafted;Bermuda coherent;Developer;invoice;Tasty;8103;2021-02-17;NOT_FULLFILLED
9;21067;2021-02-17;Mobility Kids withdrawal;fuchsia withdrawal;copying Associate;database Plastic Street;Loan;12228;2021-02-16;PAID_OFF
10;7759;2021-02-17;Soft local AGP;Infrastructure Buckinghamshire Mall;circuit extensible;Dinar;Money multi-byte Oregon;41234;2021-02-17;OPEN_REPAYING
